Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
64,"Haixu Chen, Tianpeng Wang, Xiaoning He, Xu Cai, Runmao Lin, Jianli Liang, Jian Wu, G. King, Xiaowu Wang","BRAD V3.0: an upgraded Brassicaceae database",2021,"","","","",108,"2024-01-20 11:09:02","","10.1093/nar/gkab1057","","",,,,,64,21.33,7,9,3,"Abstract The Brassicaceae Database (BRAD version 3.0, BRAD V3.0; http://brassicadb.cn) has evolved from the former Brassica Database (BRAD V2.0), and represents an important community portal hosting genome information for multiple Brassica and related Brassicaceae plant species. Since the last update in 2015, the complex genomes of numerous Brassicaceae species have been decoded, accompanied by many omics datasets. To provide an up-to-date service, we report here a major upgrade of the portal. The Model-View-ViewModel (MVVM) framework of BRAD has been re-engineered to enable easy and sustainable maintenance of the database. The collection of genomes has been increased to 26 species, along with optimization of the user interface. Features of the previous version have been retained, with additional new tools for exploring syntenic genes, gene expression and variation data. In the ‘Syntenic Gene @ Subgenome’ module, we added features to view the sequence alignment and phylogenetic relationships of syntenic genes. New modules include ‘MicroSynteny’ for viewing synteny of selected fragment pairs, and ‘Polymorph’ for retrieval of variation data. The updated BRAD provides a substantial expansion of genomic data and a comprehensive improvement of the service available to the Brassicaceae research community.","",""
40,"Artem Syromiatnikov, Danny Weyns","A Journey through the Land of Model-View-Design Patterns",2014,"","","","",138,"2024-01-20 11:09:02","","10.1109/WICSA.2014.13","","",,,,,40,4.00,20,2,10,"Every software program that interacts with a user requires a user interface. Model-View-Controller (MVC) is a common design pattern to integrate a user interface with the application domain logic. MVC separates the representation of the application domain (Model) from the display of the application's state (View) and user interaction control (Controller). However, studying the literature reveals that a variety of other related patterns exists, which we denote with Model-View- (MV) design patterns. This paper discusses existing MV patterns classified in three main families: Model-View-Controller (MVC), Model-View-View Model (MVVM), and Model-View-Presenter (MVP). We take a practitioners' point of view and emphasize the essentials of each family as well as the differences. The study shows that the selection of patterns should take into account the use cases and quality requirements at hand, and chosen technology. We illustrate the selection of a pattern with an example of our practice. The study results aim to bring more clarity in the variety of MV design patterns and help practitioners to make better grounded decisions when selecting patterns.","",""
30,"Raffaele Garofalo","Building Enterprise Applications with Windows Presentation Foundation and the Model View ViewModel Pattern",2011,"","","","",152,"2024-01-20 11:09:02","","","","",,,,,30,2.31,30,1,13,"Create rich, flexible, and maintainable line-of-business applications with the MVVM design patternSimplify and improve business application development by applying the MVVM pattern to Windows Presentation Foundation (WPF) and Microsoft Silverlight 4. With this hands-on guide, you'll use MVVM with data binding, commands, and behaviors to create user interfaces loosely coupled to business logic. MVVM is ideal for .NET developers working with WPF and Silverlightwhether or not you have experience building enterprise applications.Discover how to:Dive deep into MVVMand learn how it differs from other UI design patterns Build a simple Customer Relationship Management application you can adapt for your own projects Implement MVVM to maintain separation between UI declarative syntax and presentation logic code Create a Domain Model to define your applications business context Write dynamic code for the data access layer with the Microsoft Entity Framework and NHibernate Enforce complex data-validation scenarios using Windows Workflow Foundation 4 Implement MVVM using frameworks and toolkits such as Microsoft Prism Get code samples on the web For system requirements, see the Introduction.","",""
22,"Tian Lou","A Comparison of Android Native App Architecture – MVC, MVP and MVVM",2016,"","","","",45,"2024-01-20 11:09:02","","","","",,,,,22,2.75,22,1,8,"Disclaimer This document contains a student thesis (bachelor's or master's), as authored by a student at Eindhoven University of Technology. Student theses are made available in the TU/e repository upon obtaining the required degree. The grade received is not published on the document as presented in the repository. The required complexity or quality of research of student theses may vary by program, and the required minimum study period may vary in duration.","",""
21,"D. Hermes","Xamarin Mobile Application Development: Cross-Platform C# and Xamarin. Forms Fundamentals",2015,"","","","",142,"2024-01-20 11:09:02","","","","",,,,,21,2.33,21,1,9,"Xamarin Mobile Application Development is a hands-on Xamarin. Forms primer and a cross-platform reference for building native Android, iOS, and Windows Phone apps using C# and .NET. This book explains how to use Xamarin. Forms, Xamarin. Android, and Xamarin.iOS to build business apps for your customers and consumer apps for Google Play and the iTunes App Store. Learn how to leverage Xamarin. Forms for cross-platform development using the most common UI pages, layouts, views, controls, and design patterns. Combine these with platform-specific UI to craft a visually stunning and highly interactive mobile user experience. Use Xamarin. Forms to data bind your UI to both data models and to view models for a Model-View-ViewModel (MVVM) implementation. Use this book to answer the important question: Is Xamarin. Forms right for my project? Platform-specific UI is a key concept in cross-platform development, and Xamarin. Android and Xamarin.iOS are the foundation of the Xamarin platform. Xamarin Mobile Application Development will cover how to build an Android app using Xamarin. Android and an iOS app using Xamarin.iOS while sharing a core code library. SQLite is the database-of-choice for many Xamarin developers. This book will explain local data access techniques using SQLite.NET and ADO.NET. Build a mobile data access layer (DAL) using SQLite and weigh your options for web services and enterprise cloud data solutions. This book will show how organize your Xamarin code into a professional-grade application architecture. Explore solution-building techniques from starter-to-enterprise to help you decouple your functional layers, manage your platform-specific code, and share your cross-platform classes for code reuse, testability, and maintainability. Also included are 250+ screenshots on iOS, Android, and Windows Phone and 200+ C# code examples with downloadable C# and XAML versions available from Apress.com. This comprehensive recipe and reference book addresses one of the most important and vexing problems in the software industry today: How do we effectively design and develop cross-platform mobile applications? What youll learn How to build world-class mobile apps for iOS, Android, and Windows Phone using C#How to organize your Xamarin code into a professional-grade application architecture The latest Xamarin techniques for cross-platform UI using Xamarin. Forms When and how to use platform-specific UIData binding, local data access, enterprise cloud data solutions, and building a data access layer for mobile appsCross-platform architecture to maximize portability and code reuse Who this book is for C#, ASP.NET developers, architects, and technical managers as well as many Android and iOS developers","",""
14,"Chris Anderson","The Model-View-ViewModel (MVVM) Design Pattern",2012,"","","","",80,"2024-01-20 11:09:02","","10.1007/978-1-4302-3501-9_13","","",,,,,14,1.17,14,1,12,"","",""
13,"Andrew Troelsen, Philip Japikse","C# 6.0 and the .NET 4.6 Framework",2015,"","","","",148,"2024-01-20 11:09:02","","10.1007/978-1-4842-1332-2","","",,,,,13,1.44,7,2,9,"","",""
13,"Andrew Whitechapel, Sean McKenna","Windows Phone 8 Development Internals",2013,"","","","",157,"2024-01-20 11:09:02","","","","",,,,,13,1.18,7,2,11,"* Foreword * Introduction * Core Features * Chapter 1: Vision and architecture * Chapter 2: App model and navigation * Chapter 3: UI visuals and touch * Chapter 4: Data binding and MVVM * Chapter 5: Phone and media services * Chapter 6: Sensors * Chapter 7: Web connectivity * Chapter 8: Web services and the cloud * Chapter 9: Background agents * Chapter 10: Local storage and databases * Windows Phone 7 to Windows Phone 8 * Chapter 11: App publication * Chapter 12: Profiling and diagnostics * Chapter 13: Porting to Windows Phone 8 and multitargeting * Chapter 14: Tiles and notifications * Chapter 15: Contacts and calendar * Chapter 16: Camera and photos * Chapter 17: Networking and proximity * Chapter 18: Location and maps * New Windows Phone 8 Features * Chapter 19: Speech * Chapter 20: The Wallet * Chapter 21: Monetizing your app * Chapter 22: Enterprise apps * Native Development and Windows Phone 8 convergence * Chapter 23: Native development * Chapter 24: Windows 8 convergence * Chapter 25: Games and Direct3D * About the Authors","",""
12,"Mariam Aljamea, Mohammad A. Alkandari","MMVMi : A Validation Model for MVC and MVVM Design Patterns in iOS Applications",2018,"","","","",36,"2024-01-20 11:09:02","","","","",,,,,12,2.00,6,2,6,"Design patterns have gained popularity as they provide strategies for solving specific problems. This paper explores two common design patterns in iOS development field: Model View Controller (MVC) and Model View ViewModel (MVVM) design patterns. The paper investigates the problems with MVC design pattern. Then, it introduces a validation model that detects MVC problems, and helps programmers make the decision to switch between MVC and MVVM design pattern. The proposed validation model consists of two phases: phase one is to detect MVC problems, and phase two is to validate the relation between MVVM objects. The model was then applied to a Cloudy app as a case study. As a result, the model was able to detect MVC problems. The relation between MVVM objects was also validated. Further, this research provided some recommended solutions to satisfy the relations between MVVM objects in the project.","",""
12,"A. Daoudi, Ghizlane El-Boussaidi, Naouel Moha, Sègla Kpodjedo","An exploratory study of MVC-based architectural patterns in Android apps",2019,"","","","",140,"2024-01-20 11:09:02","","10.1145/3297280.3297447","","",,,,,12,2.40,3,4,5,"Mobile app development now represents a significant part of the software industry, with Android being the largest ecosystem. Android development comes with its own design practices and templates (layouts, activities, etc.). Developers also use different established architectural patterns for designing interactive software such as MVC, MVP and MVVM. They implement these patterns based on their understanding and experience. Thus, the choice and the implementation of such patterns varies from a developer to another. To the best of our knowledge, there is no work that provides a comprehensive view of the use of these patterns in mobile apps. Moreover, there is no clear understanding of which pattern to use and what is the trend for designing mobile apps using such patterns. In this paper, we propose an automatic approach to identify which MVC-based architectural pattern (MVC, MVP and MVVM) is used predominantly in a given app. For this purpose, we defined each of these patterns through a number of heuristics according to the pattern's potential implementations within the Android framework. We conducted an empirical study on a large set of mobile apps downloaded from the Google Play Store. We found, not surprisingly, a dominance of the popular MVC pattern, a rare use of MVP while MVVM is almost unused and a significant number of apps do not follow any pattern. The empirical study also enabled us to analyse the use of these patterns by domain, size and last-update date of the apps. We observed that MVC has been the most used pattern over the past years and it continues to gain popularity, and that small-size apps are mostly the ones that do not use any pattern.","",""
